,0
red_ADC_subclass,0.0006734509898921805
red_ADC_class,0.00052588105235733
blue_Jungle_subclass,0.00045142609169006634
red_Jungle_subclass,0.0004446155998961037
blue_ADC_subclass,0.00040559461282585994
blue_ADC_class,0.0003681353224888294
blue_Mid_subclass,0.00035386036102815974
red_Top_subclass,0.0003529792567141237
red_Support_subclass,0.0003353608868948599
blue_Jungle_class,0.0003016241017745752
blue_Support_subclass,0.0002963996094838971
blue_Top_subclass,0.00023576077409825187
red_Jungle_class,0.0002241187699463451
red_Support_class,0.00022221984583354476
blue_Top_class,0.00019117903356560134
blue_Mid_class,0.00017885968814609216
blue_Support_class,0.0001345565209667568
red_Mid_subclass,9.339742729232506e-05
red_Mid_class,6.859991767595164e-05
red_Top_class,4.0042458630202074e-05
